所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/产品中心管理/产品分类(#3060),【产品二类】新增查询条件校验,,1.产品二类新增查询条件 ,1.增加有效标志（默认“是”），产品类别，创建人，创建时间范围查询，,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】同步系统选项下拉选变更校验,,1.同步系统,1.下拉选包括：不同步，稿件系统,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】查询功能校验,,"1.输入查询条件，点击查询
2.输入完查询条件后，点击重置","1.展示对应的数据，无数据时提示暂无数据
2.查询条件被清空",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】列表中隐藏字段校验,,1.列表中隐藏,1.项目名称，产品中心，中心主任，项目首席字段,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】导出数据列表中删除字段校验,,1.点击导出,1.导出数据中去掉项目名称，产品中心，中心主任，项目首席,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】新增页面隐藏字段校验,,1.点击新增,1.进入新增页面，页面隐藏项目名称，产品中心，中心主任，项目首席,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】新增功能校验,,1.正确输入所有信息后点击新增,1.新增成功,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】修改页面隐藏字段校验,,1.选择一条数据，点击修改,1.进入新增页面，页面隐藏项目名称，产品中心，中心主任，项目首席,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】修改功能校验,,1.修改信息后点击保存,1.修改成功,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】新增开票书名时选择多个书名校验,,"1.新增开票书名时，选择的多个书名同届别同事业群对应的签约公司不同，点击保存
2.新增开票书名时，选择的多个书名同届别同事业群对应的签约公司相同，点击保存","1.系统提示：引用多个书名时，同届别同事业群对应的签约公司必须相同
2.保存成功",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品分类(#3060),【产品二类】修改开票书名时选择多个书名校验,,"1.修改开票书名时，选择的多个书名同届别同事业群对应的签约公司不同，点击保存
2.修改开票书名时，选择的多个书名同届别同事业群对应的签约公司相同，点击保存","1.系统提示：引用多个书名时，同届别同事业群对应的签约公司必须相同
2.保存成功",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】查询条件中外购标志默认情况校验,,1.外购标志,1.默认为否,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】查询条件中产品一类和产品二类可以选择停用状态的产品一类和产品二类校验,,"1.产品一类
2.产品二类
3.选择停用状态的产品一类和二类点击查询","1.下拉选中展示了停用状态的产品一类
2.下拉选中展示了停用状态的产品二类
3.查询成功",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】增加推送聚水潭按钮校验,,"1.选择一条报订状态的产品，点击推送聚水潭
2.选择一条非报订状态的产品，点击推送聚水潭
3.选择多条报订状态的产品，点击推送聚水潭","1.推送成功，同步系统字段增加聚水潭
2.推送失败，系统提示：只有报订状态的产品可以推送聚水潭
3.推送成功，同步系统字段增加聚水潭",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】推送聚水潭字段比对校验,,"1.商品编码
2.商品名称
3.国标码
4.分类
5.成本价
6.基本售价
7.供应商
8.品牌
9.市场吊牌价
10.计划成本价
11.虚拟分类","1.取产品编码
2.取产品名称
3.提取书号的数字
4.取产品的产品类别
5.默认传0
6.取产品的定价
7.默认是易而采（取全称，参考供应商档案）
8.非电商事业部的产品，默认是“电商内购”
9.同定价
10.默认0
11.取届别",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】删除字段校验,,"1.列表中
2.批量立项中
3.批量修改
4.修改
5.详情界面","1.删除项目名称字段
2.删除项目名称字段
3.删除项目名称字段
4.删除项目名称字段
5.删除项目名称字段",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】列表中部分字段修改存储内容校验,,1.统计一类，统计二类，统计三类,1.在产品表里改成存编码带届别,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】新增字段校验,,1.产品列表、批量立项、批量修改、修改、详情页面,1.均增加单命考务时间，答案接收人，供应商，出版社，自动加工标志,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】导入增加字段校验,,"1.供应商
2.出版社","1.非必填，外购产品的供应商在创建产品时从供应档案中选（类型是外部成品供应商），非外购产品选加工厂（供应商档案中类型是加工厂），导入要校验供应商是否存在
2.支持编辑，可为空，单选，出版社的数据也在供应商档案中（类型是出版类供应商），导入要校验供应商是否存在",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】导入减少字段校验,,"1.导入模板中减少字段包括
2.导入成功后","1.产品中心，中心主任，项目首席，项目名称。
2.根据统计三类读取产品中心，中心主任，项目首席",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】导入数据校验,,1.点击导出,1.导出成功，数据同列表字段相同,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量立项存储属性编辑校验,,"1.存储属性是插件
2.存储属性是部件
3.产品已拆套（即有插件或者部件）","1.所属套装要选择产品，且只能选存储属性为正常的产品
2.则所属套装要选择产品，且只能选存储属性为套装的产品
3.要先删除插件或部件，才能修改存储属性",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量立项字段变更校验,,"1.同步系统
2.产品类别
3.产品一类，产品二类
4.项目名称
5.统计一类，二类，三类
6.产品中心，中心主任，项目首席 ","1.默认是稿件系统，选项：不同步、稿件系统、聚水潭、稿件系统和聚水潭
2.改为可编辑，默认取二类的产品类别
3.可选择停用的产品一类和产品二类，没有选择产品一类，可以直接选择产品二类，带出来产品一类，产品二类较多，支持分页加载，支出输入信息模糊匹配选项
4.去掉该字段
5.只能选择产品对应届别的统计一类，二类，三类
6.改为选了统计三类后，从统计三类的配置项中带过来，但是在前端删除这三个字段 ",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量立项字段展示校验,,"1.单命考务时间
2.答案接收人
3.供应商
4.出版社
5.自动加工标志","1.非必填，格式为年月日时分
2.非必填，多选，选ERP用户
3.非必填，外购产品的供应商在创建产品时从采购模块的供应档案中选，非外购产品选印厂（供应商档案中类型是印厂）
4.非必填，导入要校验出版社是否存在，出版社的数据也在供应商档案中，类型是出版社
5.单选，选项有“是”、“否”，事业群为电商且存储属性为插件的产品默认为“是”，其他产品默认“否” ",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】选择产品页面产品一类，产品二类选择校验,,1.产品一类，产品二类,1.可选择停用的产品一类和产品二类，没有选择产品一类，可以直接选择产品二类，带出来产品一类，产品二类较多，支持分页加载，支出输入信息模糊匹配选项,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量修改存储属性编辑校验,,"1.存储属性是插件
2.存储属性是不见
3.产品已拆套（即有插件或者部件）","1.所属套装要选择产品，且只能选存储属性为正常的产品
2.则所属套装要选择产品，且只能选存储属性为套装的产品
3.要先删除插件或部件，才能修改存储属性",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量修改字段变更校验,,"1.同步系统
2.产品类别
3.产品一类，产品二类
4.项目名称
5.统计一类，二类，三类
6.产品中心，中心主任，项目首席 ","1.默认是稿件系统，选项：不同步、稿件系统、聚水潭、稿件系统和聚水潭
2.改为可编辑，默认取二类的产品类别
3.可选择停用的产品一类和产品二类，没有选择产品一类，可以直接选择产品二类，带出来产品一类，产品二类较多，支持分页加载，支出输入信息模糊匹配选项
4.去掉该字段
5.只能选择产品对应届别的统计一类，二类，三类
6.改了统计分类，对应的产品中心，中心主任，项目首席也跟着取新的统计分类配置数据。并且在批处理木块删掉这三个字段 ",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量修改字段展示校验,,"1.单命考务时间
2.答案接收人
3.供应商
4.出版社
5.自动加工标志","1.非必填，格式为年月日时分
2.非必填，多选，选ERP用户
3.非必填，外购产品的供应商在创建产品时从采购模块的供应档案中选，非外购产品选印厂（供应商档案中类型是印厂）
4.非必填，导入要校验出版社是否存在，出版社的数据也在供应商档案中，类型是出版社
5.单选，选项有“是”、“否”，事业群为电商且存储属性为插件的产品默认为“是”，其他产品默认“否” ",,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】批量修改页面增加匹配定价按钮校验,,1.点击匹配定价,1.书号表会增加适用届别和对应的定价，匹配定价是从书号表中取对应届别的定价,,2,功能测试,功能测试阶段,,,
/产品中心管理/产品(#3061),【产品】修改页面字段展示校验,,"1.单命考务时间
2.答案接收人
3.供应商
4.出版社
5.自动加工标志","1.非必填，格式为年月日时分
2.非必填，多选，选ERP用户
3.非必填，外购产品的供应商在创建产品时从采购模块的供应档案中选，非外购产品选印厂（供应商档案中类型是印厂）
4.非必填，导入要校验出版社是否存在，出版社的数据也在供应商档案中，类型是出版社
5.单选，选项有“是”、“否”，事业群为电商且存储属性为插件的产品默认为“是”，其他产品默认“否” ",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】列表删除字段校验,,1.列表删除字段包括,1.上届分类,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】列表增加字段校验,,"1.来源主数据
2.财务大类","1.来源主数据记录这个统计分类是选择的哪条主数据（编号）
2.财务大类取的是来源主数据所属大类",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】列表数据查询逻辑校验,,1.列表数据,1.默认查询的是当前届别的统计分类,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】增加导入功能校验,,1.点击导入,1.弹出导入弹窗，弹窗中包括下载模板和上传文件,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】导入模板字段校验,,"1.来源主数据编号
2.来源主数据名称
3.产品中心
4.中心主任
5.项目首席","1.必填
2.非必填，需要与主数据编号匹配
3.非必填，要填全路径
4.非必填，填写工号
5.非必填，填工号，支持多个，用逗号隔开  ",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】导入功能校验,,"1.填写的来源主数据编号和主数据名称不匹配
2.产品中心非全路径
3.中心主任或者项目首席填写的姓名非工号
4.正确填写所有数据后点击上传文件","1.系统报错提示，导入失败
2.系统报错提示，导入失败
3.系统报错提示，导入失败
4.导入成功，根据来源主数据编号，查来源主数据对应的名称、排序号、上级分类、财务大类等写入带届别的统计分类中，届别是导入时选择的届别",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】新增统计分类校验,,"1.增加的是统计一类
2.增加的是统计二类
3.增加的是统计三类
4.相同届别，统计分类已经添加过，再次选择","1.选择的范围是统计分类主数据中正常状态的统计一类
2.选择的范围是统计分类主数据中正常状态的统计二类
3.选择的范围是统计分类主数据中正常状态的统计三类
4.添加失败，系统提示相同届别，已经被选过的主数据不能重复选",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类(#3063),【统计分类】新增统计分类页面增加财务大类字段校验,,1.新增财务大类,1.计分类主数据带过来。不支持编辑。,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】页面展示校验,,1.点击统计分类主数据,1.进入到统计分类主数据页面，页面包括树状查询条件，查询模块，数据列表，按钮包括：新增，修改，删除，导出，启用，停用,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】左侧树结构展示校验,,"1.第一层级
2.第二层级
3.第三层级","1.展示全部
2.展示统计一类
3.展示统计二类",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】查询条件校验,,"1.编号
2.名称
3.上级分类编号
4.上级分类名称
5.创建人
6.创建时间
7.修改人
8.修改时间","1.文本输入
2.文本输入
3.文本输入
4.文本输入
5.文本输入
6.时间选择框
7.文本输入
8.时间选择框",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】查询功能校验,,"1.点击左侧树或者输入查询条件
2.输入查询条件后点击重置","1.展示对应的数据
2.查询条件被清空",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】数据列表字段展示校验,,"1.状态
2.编号
3.名称
4.上级分类编号
5.上级分类名称
6.财务大类
7.排序号
8.创建人
9.创建时间
10.修改人
11.修改时间","1.启用、停用，停用的统计分类在建产品时选不到
2.系统自动生成，统计一类是TJ+三位数字，统计二类是统计一类的编号后面加三位数字，统计三类是统计二类的编号后面加三位数字，编号唯一
3.显示填写的名称
4.统计一类的上级分类编号默认是-1，其他的记录上级分类的编号
5.统计一类的上级分类编号默认是空，其他的记录上级分类的名称
6.显示选择的数据
7.默认取编号的数字部分，可编辑
8.显示新增数据的操作人名称和账号
9.显示新增数据的操作时间
10.显示修改数据的操作人名称和账号
11.显示修改数据的操作时间",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】新增页面字段展示校验,,"1.上级分类编码
2.名称
3.财务大类选项
4.状态","1.从上个界面选择的数据带过来，如果选的是全部，默认是-1
2.输入框，统计一类相互不能重复，同一个统计一类下的统计二类不能重复，同一个统计二类下的统计三类不能重复
3.：图书、报纸、杂志、试卷、培训、硬件、软件、电商，只有统计一类可以编辑财务系统大类，统计二类和统计三类不能编辑，直接显示对应统计一类的财务系统大类
4.新增的默认为启用",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】新增功能校验,,"1.新增的数据已经存在，点击确认
2.正确填写信息后，点击确认
3.正确填写信息后，点击取消","1.系统提示：数据在系统中已存在，新增失败
2.新增成功
3.页面关闭",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】修改页面展示校验,,"1.上级分类编码
2.名称
3.财务大类选项
4.排序号
5.状态","1.反显，不可以编辑
2.允许编辑
3.统计一类可以编辑，二类，三类不可以编辑
4.反显，不可以编辑
5.可以编辑",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】修改功能校验,,"1.修改后的数据已经存在，点击确认
2.正确填写信息后，点击确认
3.正确填写信息后，点击取消","1.系统提示：数据在系统中已存在，修改失败
2.修改成功
3.页面关闭",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】删除功能校验,,"1.选择一条未被使用的数据，点击删除
2.选择一条已经使用的数据，点击删除
3.选择多条未被使用的数据，点击删除","1.弹出删除确认框，点击是，删除成功；点击否，删除失败
2.系统提示：数据已被使用，无法删除。删除失败
3.弹出删除确认框，点击是，删除成功；点击否，删除失败",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】删除分类下存在子分类校验,,1.删除分类时，分类下存在子分类,1.系统提示：请先删除子分类,,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】导出功能校验,,"1.无筛选条件时，点击导出
2.有筛选条件时，点击导出","1.导出所有数据，字段同列表字段
2.导出筛选数据，字段同列表字段",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】启用功能校验,,"1.选择一条停用状态的数据，点击启用
2.选择一条启用状态的数据，点击启用
3.选择多条停用状态的数据，点击启用","1.启用成功，数据状态变为启用
2.系统提示：数据已经是启用状态无需再次启用
3.启用成功，所有数据状态变为启用",,2,功能测试,功能测试阶段,,,
/产品中心管理/统计分类主数据(#3408),【统计分类主数据】停用功能校验,,"1.选择一条启用状态的数据，点击启用
2.选择一条停用状态的数据，点击启用
3.选择多条启用状态的数据，点击启用","1.启用成功，数据状态变为停用
2.系统提示：数据已经是停用状态无需再次停用
3.停用成功，所有数据状态变为停用",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】页面展示校验,,1.点击外购产品,1.进入到外购产品页面，页面包括树状查询条件，查询模块，数据列表，按钮包括：导入，修改，详情，导出,,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】左侧树结构展示校验,,"1.第一层级
2.第二层级
3.第三层级","1.展示全部
2.展示统计一类
3.展示统计二类",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】查询条件校验,,"1.届别
2.产品一类
3.产品二类
4.销售状态
5.产品名称关键词
6.产品编码
7.物流码
8.标志
9.存储属性
10.同步系统
11.稿件状态
12.拆套处理
13.事业群
14.发货状态","1.下拉选
2.下拉选
3.下拉选
4.下拉选
5.文本输入
6.文本输入
7.文本输入
8.下拉选
9.下拉选，默认正常和套装
10.下拉选
11.下拉选
12.下拉选
13.下拉选
14.下拉选",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】查询功能校验,,"1.点击左侧树或者输入查询条件
2.输入查询条件后点击重置","1.展示对应的数据
2.查询条件被清空",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】列表字段展示校验,,1.列表字段,1.同【产品-产品中心管理-产品】菜单一致,,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】列表数据展示校验,,1.列表数据,1.仅显示以下产品：1、事业群为电商事业部；2、外购标志为“是”,,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】导入功能校验,,1.点击导入,1.弹出导入弹窗，弹窗中包括下载模板和上传文件,,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】导入模板字段校验,,"1.款式编码
2.国标码
3.产品二类
4.产品名称
5.产品类别
6.定价
7.成本价
8.供应商名称
9.计划成本价
10.虚拟分类","1.非必填
2.非必填
3.必填
4.必填
5.非必填，对应聚水潭系统的分类
6.非必填，对应聚水潭系统的基本售价
7.非必填
8.非必填，需匹配聚水潭的供应商数据
9.非必填
10.非必填  ",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】导入功能校验,,"1.导入的供应商在系统中不存在
2.导入的供应商在系统中存在，但非外部成品供应商
3.导入的数据在系统中存在
4.正确填写所有数据后点击上传文件","1.系统报错提示“供应商名称错误或不存在”，导入失败
2.系统报错提示“供应商名称错误或不存在”，导入失败
3.系统报错提示，导入失败
4.导入成功，排序方式默认批次排序，同步系统默认是聚水潭（同步系统新增：聚水潭，稿件系统和聚水潭），存储属性默认正常，标志默认新，生产属性同产品类别，研发属性同产品类别，发型范围默认全品，出片状态默认已出片，销售状态默认报订，统计一类、统计二类、统计三类默认显示“电商外购商品”，在统计分类里维护一套这个数据，存编号，产品中心、中心主任、项目首席默认显示“/”",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】修改页面字段展示校验,,"1.款式编码
2.成本价
3.国标码
4.供应商名称
5.产品二类
6.计划成本价
7.产品名称
8.虚拟分类
9.产品类别","1.反显，可修改，非必填
2.反显，可修改，非必填
3.反显，可修改，非必填
4.反显，可修改，非必填
5.反显，可修改，必填
6.反显，可修改，非必填
7.反显，可修改，必填
8.反显，可修改，非必填
9.反显，可修改，非必填",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】修改功能校验,,"1.修改后的产品在系统中存在，点击确认
2.修改后，点击取消
3.修改后，点击确认","1.保存失败，系统提示商品已存在
2.页面关闭，修改失败
3.修改成功，列表展示修改后的内容",,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】详情页面展示校验,,1.选择一条数据，点击详情,1.进入详情页面，页面同修改页面字段一致，所有字段反显不可以修改,,2,功能测试,功能测试阶段,,,
/产品中心管理/外购产品(#3409),【外购产品】导出功能校验,,"1.无筛选条件时，点击导出
2.有筛选条件时，点击导出","1.导出所有数据，字段同列表字段
2.导出筛选数据，字段同列表字段",,2,功能测试,功能测试阶段,,,
/产品中心管理/赠送规则(#3062),【配送规则】增加产品和赠品科目不一致校验,,"1.导入配送规则时产品和赠品的科目不一致
2.新增配送规则时产品和赠品的科目不一致
3.修改配送规则时产品和赠品的科目不一致","1.系统提示：产品和赠品科目不一致是否继续导入？点击是，导入成功；点击否，导入失败
2.系统提示：产品和赠品科目不一致是否继续新增？点击是，新增成功；点击否，新增失败
3.系统提示：产品和赠品科目不一致是否继续修改？点击是，修改成功；点击否，修改失败",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】列表中去掉签约公司校验,,1.列表中字段,1.去掉字段签约公司,,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】导入模板中去掉签约公司校验,,1.点击下载导入模板,1.模板中去掉签约公司字段,,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】导出数据中去掉签约公司校验,,1.点击导出,1.导出成功，导出数据中去掉了签约公司,,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】查询模块增加查询条件校验,,"1.书号
2.创建人
3.创建时间","1.输入框
2.输入框，支持模糊搜索
3.时间选择框",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】查询功能校验,,"1.输入查询条件
2.输入查询条件后点击重置","1.展示对应的数据
2.查询条件被清空",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】书名编号支持跳转详情页面校验,,"1.书名编号
2.点击书名编号","1.字体变为蓝色，支持点击
2.跳转至详情页面，页面字段反显不支持修改",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】新增书名页面展示校验,,"1.产品类别
2.书号构建
3.书号
4.报刊号
5.数据列表","1.下拉选，必填
2.下拉选，必填
3.文本输入，必填
4.报刊号
5.届别，事业群，发行公司，删除按钮，所有字段均必填",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】新增书名页面添加/删除行校验,,"1.点击添加行
2.点击删除 ","1.添加一个空白行
2.删除成功",,2,功能测试,功能测试阶段,,,
/产品中心系统管理/书号管理(#3073),【书名书号管理】新增书名功能校验,,"1.必填字段未填写，点击确定
2.列表中所有数据均被删除，点击确定
3.1个届别+1个事业群设置了多个发行公司，点击确定
4.所有数据均正常填写，点击确定
5.所有数据均正常填写，点击取消","1.系统提示字段必填
2.系统报错提示，保存失败
3.保存失败，系统提示：1个届别+1个事业群只能设置一个发行公司
4.新增书名成功
5.页面关闭，新增书名失败  ",,2,功能测试,功能测试阶段,,,
